,Hour,number,filter_prop,recall,success_rate,score,hour_of_week,,,,,
1,0,5786,0.2443829934,0.9955752212,0.0390597995,22075.5782190151,0,,sum of success rate:,,0.0023604688,0.0016118715
2,1,5815,0.2682717111,0.9946524064,0.0321582115,24325.0527632299,1,,24.2325770304,,0.0026009977,0.0013270653
3,2,5554,0.3129276197,0.9668874172,0.0271876125,6396.1123419194,2,,sum of recall:,,0.0006839152,0.0011219447
4,3,5025,0.2941293532,0.9866666667,0.0298507463,20821.0945273632,3,,9352200.89205925,,0.002226331,0.0012318437
5,4,3490,0.2767908309,0.9945355191,0.0524355301,25307.6267869166,4,,,,0.0027060611,0.0021638446
6,5,2554,0.2548942835,0.9906103286,0.0833985904,19190.3533442892,5,,,,0.0020519612,0.0034415898
7,6,2011,0.2426653406,1,0.0726006962,25618.4982595724,6,,,,0.0027393015,0.0029959957
8,7,1563,0.2092130518,1,0.0786948177,21370.0575815739,7,,,,0.0022850298,0.0032474803
9,8,1425,0.2554385965,0.9711538462,0.0729824561,2721.4709851552,8,,,,0.0002909979,0.0030117497
10,9,1318,0.2617602428,0.9887640449,0.0675265554,18492.989036845,9,,,,0.0019773943,0.0027866023
11,10,1645,0.2492401216,1,0.0936170213,26453.4954407295,10,,,,0.002828585,0.0038632714
12,11,2438,0.2317473339,1,0.0931091058,24231.9114027892,11,,,,0.0025910384,0.0038423114
13,12,3407,0.2377458174,0.9958158996,0.0701496918,21437.2334585576,12,,,,0.0022922127,0.0028948507
14,13,4301,0.2678446873,0.9919354839,0.0576610091,21961.4365751401,13,,,,0.002348264,0.0023794832
15,14,4647,0.3010544437,0.9782608696,0.0494942974,14555.653483781,14,,,,0.001556388,0.0020424694
16,15,4826,0.2876087857,0.9903846154,0.0430998757,23153.2388663968,15,,,,0.0024756995,0.0017785923
17,16,5088,0.3016902516,0.9611650485,0.0404874214,104.9532118215,16,,,,1.12223008287368E-005,0.0016707848
18,17,5166,0.3027487418,0.96875,0.0371660859,6686.5902051878,17,,,,0.000714975,0.001533724
19,18,5418,0.2912513843,0.9891304348,0.0339608712,22549.7953680966,18,,,,0.0024111753,0.0014014552
20,19,5481,0.2811530743,0.9880239521,0.0304688925,20326.7997120155,19,,,,0.0021734777,0.0012573526
21,20,5735,0.3163034002,0.9760479042,0.029119442,14611.250385019,20,,,,0.0015623328,0.0012016651
22,21,5841,0.2977229926,0.9814814815,0.0277349769,16870.0793243166,21,,,,0.0018038619,0.0011445327
23,22,5675,0.3189427313,0.9814814815,0.0285462555,19564.986131506,22,,,,0.0020920194,0.0011780115
24,23,5791,0.3350025902,0.9700598802,0.0288378518,11896.2271623219,23,,,,0.0012720243,0.0011900448
25,0,4637,0.2620228596,0.9817073171,0.0353676946,12528.1226823482,24,,,,0.0013395908,0.0014595103
26,1,4891,0.3369454099,0.9350649351,0.0314864036,-17602.7381328547,25,,,,-0.0018822027,0.0012993419
27,2,4691,0.3794500107,0.9495798319,0.0253677254,133.008496513,26,,,,1.42221599009897E-005,0.0010468439
28,3,3946,0.3469336036,0.9572649573,0.0296502788,2535.7813386704,27,,,,0.0002711427,0.001223571
29,4,2816,0.2727272727,0.9858156028,0.0500710227,17379.6260477111,28,,,,0.0018583461,0.002066269
30,5,2160,0.2416666667,0.987654321,0.075,14997.8395061728,29,,,,0.0016036695,0.0030950072
31,6,1649,0.2480291086,0.9765625,0.0776228017,6377.8217859309,30,,,,0.0006819595,0.0032032417
32,7,1212,0.2128712871,1,0.0684818482,21834.6534653465,31,,,,0.0023347075,0.0028260242
33,8,1124,0.2411032028,1,0.0765124555,25420.1067615658,32,,,,0.0027180882,0.0031574213
34,9,1342,0.2585692996,1,0.0737704918,27638.3010432191,33,,,,0.0029552724,0.0030442694
35,10,1768,0.2364253394,1,0.0712669683,24826.0180995475,34,,,,0.0026545642,0.0029409571
36,11,2652,0.2220965309,0.9948186528,0.072775264,18602.1143491274,35,,,,0.0019890627,0.0030031995
37,12,3695,0.2525033829,1,0.051691475,26867.9296346414,36,,,,0.0028728991,0.0021331398
38,13,4645,0.2613562971,0.9942857143,0.0376749193,23135.1068737506,37,,,,0.0024737607,0.0015547219
39,14,5368,0.2814828614,0.9814814815,0.0301788376,14807.5826571728,38,,,,0.001583326,0.0012453829
40,15,5699,0.298297947,0.9695121951,0.0287769784,6769.2051237059,39,,,,0.0007238088,0.0011875327
41,16,6252,0.3008637236,0.9466666667,0.0239923225,-12323.6404350608,40,,,,-0.0013177262,0.0009900855
42,17,6187,0.3148537256,0.9931034483,0.0234362373,28924.3541797874,41,,,,0.0030927858,0.0009671376
43,18,6332,0.3297536323,0.9722222222,0.0227416298,13067.6001965326,42,,,,0.0013972754,0.0009384734
44,19,6193,0.3883416761,0.9669421488,0.0195381883,16020.2193091907,43,,,,0.0017129892,0.0008062778
45,20,6691,0.419369302,0.9465648855,0.0195785383,2640.0540317916,44,,,,0.0002822923,0.0008079429
46,21,5958,0.4149043303,0.9658119658,0.0196374622,18433.0208898185,45,,,,0.0019709821,0.0008103745
47,22,5150,0.4891262136,0.8703703704,0.0209708738,-53266.1560589716,46,,,,-0.0056955744,0.0008654001
48,23,4942,0.5002023472,0.9256198347,0.0244840146,-4897.4423979317,47,,,,-0.0005236674,0.001010376
49,0,4562,0.2825515125,0.9797979798,0.0434020167,13512.3249150868,48,,,,0.0014448283,0.0017910607
50,1,4725,0.3058201058,1,0.033015873,33639.1534391534,49,,,,0.0035969237,0.0013624582
51,2,4602,0.3215993047,0.9841269841,0.0273794003,22151.0481985058,50,,,,0.0023685385,0.0011298592
52,3,3976,0.2794265594,0.9857142857,0.0352112676,18144.3158953723,51,,,,0.0019401119,0.001453055
53,4,3043,0.2034176799,0.9852941176,0.0446927374,8134.0453499836,52,,,,0.0008697466,0.0018443246
54,5,2282,0.1765994741,1,0.0525854514,17228.1332164768,53,,,,0.0018421475,0.0021700313
55,6,1816,0.186123348,1,0.0825991189,18437.6651982379,54,,,,0.0019714787,0.0034085982
56,7,1392,0.2119252874,1,0.0818965517,21714.5114942529,55,,,,0.0023218611,0.0033796055
57,8,1205,0.222406639,1,0.0854771784,23045.643153527,56,,,,0.0024641946,0.0035273664
58,9,1367,0.2136064375,1,0.0921726408,21928.0175566935,57,,,,0.0023446906,0.0038036665
59,10,1911,0.2250130822,0.9941860465,0.0900052329,18434.800968688,58,,,,0.0019711725,0.0037142246
60,11,2890,0.2522491349,0.9959677419,0.0858131488,23408.2207835696,59,,,,0.0025029639,0.0035412308
61,12,3821,0.2392043968,1,0.0575765506,25178.9583878566,60,,,,0.002692303,0.0023759978
62,13,4788,0.2798663325,0.9857819905,0.0440685046,18257.7161703627,61,,,,0.0019522374,0.0018185645
63,14,5439,0.3366427652,0.9671361502,0.0391616106,9619.3588817331,62,,,,0.0010285663,0.0016160729
64,15,5881,0.3383778269,0.9801980198,0.0343479,20942.3008480069,63,,,,0.0022392912,0.0014174266
65,16,6227,0.3308174081,0.9887640449,0.0285851935,27263.2490260789,64,,,,0.0029151693,0.0011796184
66,17,6347,0.4068063652,0.9593023256,0.027099417,11871.3851260988,65,,,,0.0012693681,0.0011183052
67,18,6226,0.4023450048,0.9558823529,0.0218438805,8397.8156119499,66,,,,0.0008979507,0.0009014262
68,19,5802,0.4675973802,0.9692307692,0.0224060669,28031.0211332962,67,,,,0.0029972646,0.0009246258
69,20,6380,0.4310344828,0.9640718563,0.0261755486,19002.4571546562,68,,,,0.0020318701,0.0010801801
70,21,5662,0.4166372307,0.9224806202,0.0227834687,-18178.544574328,69,,,,-0.0019437718,0.0009402
71,22,4985,0.3821464393,0.9734513274,0.022668004,20766.2261119642,70,,,,0.0022204641,0.0009354351
72,23,4671,0.3797901948,0.9576271186,0.0252622565,7016.4055894829,71,,,,0.0007502411,0.0010424915
73,0,4326,0.2015718909,0.9896907216,0.0448451225,11636.7435453814,72,,,,0.0012442786,0.001850613
74,1,4697,0.2559080264,0.9867549669,0.0321481797,16042.041207083,73,,,,0.0017153226,0.0013266513
75,2,4551,0.2823555263,0.9802631579,0.0333992529,13882.8360452879,74,,,,0.0014844459,0.001378279
76,3,4048,0.2411067194,0.9937106918,0.0392786561,20074.6414099983,75,,,,0.0021465152,0.001620903
77,4,3009,0.2140245929,1,0.0535061482,21981.1232967763,76,,,,0.002350369,0.0022080255
78,5,2235,0.1901565996,1,0.05950783,18949.8881431767,77,,,,0.002026249,0.0024556955
79,6,1756,0.2061503417,0.9925373134,0.076309795,14637.8098119879,78,,,,0.0015651727,0.0031490582
80,7,1402,0.134807418,1,0.0741797432,11920.5420827389,79,,,,0.0012746243,0.0030611578
81,8,1225,0.2244897959,1,0.0816326531,23310.2040816327,80,,,,0.0024924833,0.0033687153
82,9,1442,0.2288488211,1,0.0783633842,23863.8002773925,81,,,,0.0025516775,0.0032338032
83,10,1989,0.1985922574,1,0.0658622423,20021.2166918049,82,,,,0.0021408027,0.0027179215
84,11,2833,0.1888457466,0.9949494949,0.0698905754,14490.4805199898,83,,,,0.0015494193,0.0028841578
85,12,3944,0.2152636917,0.990430622,0.0529918864,14004.5175519473,84,,,,0.0014974569,0.0021868036
86,13,4977,0.2372915411,0.9950738916,0.0407876231,20748.8336000776,85,,,,0.0022186044,0.0016831732
87,14,5217,0.2815794518,0.9823529412,0.0325857773,15560.5903776116,86,,,,0.0016638426,0.0013447095
88,15,5725,0.3179039301,0.9897435897,0.0340611354,26455.8504086889,87,,,,0.0028288368,0.0014055928
89,16,6435,0.3073815074,0.9784946237,0.0289044289,15557.8815449783,88,,,,0.001663553,0.0011927922
90,17,6079,0.349564073,0.9818181818,0.0271426221,23740.0918213223,89,,,,0.0025384497,0.0011200881
91,18,6395,0.3824863174,0.9858156028,0.0220484754,31319.0247256556,90,,,,0.00334884,0.0009098692
92,19,6138,0.3721081786,0.9846153846,0.0211795373,28980.8156001705,91,,,,0.003098823,0.0008740109
93,20,6480,0.3899691358,0.9810126582,0.024382716,28186.8397405845,92,,,,0.0030139258,0.0010061958
94,21,5577,0.2942442173,0.9933774834,0.0270754886,26539.8765269371,93,,,,0.0028378215,0.0011173178
95,22,4806,0.3258426966,0.9837398374,0.0255930087,22360.884260528,94,,,,0.0023909756,0.0010561406
96,23,4714,0.3665676708,0.9594594595,0.0313958422,6894.634728067,95,,,,0.0007372206,0.0012956048
97,0,4554,0.275581906,0.9849246231,0.043697848,16984.8317123607,96,,,,0.001816132,0.0018032687
98,1,4625,0.3245405405,0.9705882353,0.0294054054,11016.6486486486,97,,,,0.0011779739,0.0012134659
99,2,4637,0.344619366,0.9319727891,0.0317015312,-19256.4697735898,98,,,,-0.0020590308,0.0013082196
100,3,4121,0.31181752,0.9736842105,0.0368842514,12032.4039898339,99,,,,0.0012865853,0.0015220936
101,4,2961,0.2431610942,0.9934210526,0.0513340088,20089.3537034075,100,,,,0.0021480883,0.0021183883
102,5,2227,0.2667265379,0.992248062,0.0579254603,22085.1230319928,101,,,,0.0023614894,0.0023903962
103,6,1999,0.2371185593,0.9912280702,0.0570285143,17457.916677637,102,,,,0.0018667175,0.0023533822
104,7,1348,0.2982195846,1,0.0645400593,32673.8872403561,103,,,,0.003493711,0.0026633593
105,8,1151,0.3145091225,0.9896907216,0.0842745439,25979.7719598377,104,,,,0.0027779313,0.0034777376
106,9,1331,0.3155522164,0.9916666667,0.0901577761,27791.7981467569,105,,,,0.0029716853,0.0037205195
107,10,1832,0.3073144105,1,0.0895196507,33828.9301310044,106,,,,0.0036172159,0.0036941862
